ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001493152-25-020364	3322888	Series C Preferred Stock	F1		F1	30-OCT-2025				4	G	0				430000.0					F2	D			F1		F1	Class A Common Stock			F1			3870000.0				I		By The Alessi 2023 Irrevocable Trust	
0000882184-25-000066	3322890	Restricted Stock Unit			F1	29-OCT-2025				4	A	0				2320.0				0.0		A			F2		F2	Common Stock		2320.0				2320.0				D			
0000882184-25-000065	3322941	Restricted Stock Unit			F2	29-OCT-2025				4	A	0				7615.0				0.0		A			F4		F4	Common Stock		7615.0				7615.0				D			
0000882184-25-000065	3322940	Restricted Stock Unit			F2	29-OCT-2025				4	M	0				47917.0				0.0		D			F2	29-OCT-2025		Common Stock		47917.0				0.0				D			
0000882184-25-000064	3322916	Restricted Stock Unit			F2	29-OCT-2025				4	M	0				71875.0				0.0		D			F2	29-OCT-2025		Common Stock		71875.0				0.0				D			
0000882184-25-000064	3322917	Restricted Stock Unit			F2	29-OCT-2025				4	A	0				8445.0				0.0		A			F5		F5	Common Stock		8445.0				8445.0				D			
0000882184-25-000063	3322909	Restricted Stock Unit			F2	29-OCT-2025				4	A	0				8445.0				0.0		A			F4		F4	Common Stock		8445.0				8445.0				D			
0000882184-25-000063	3322908	Restricted Stock Unit			F2	29-OCT-2025				4	M	0				71875.0				0.0		D			F2	29-OCT-2025		Common Stock		71875.0				0.0				D			
0000882184-25-000062	3322954	Restricted Stock Unit			F2	29-OCT-2025				4	M	0				191667.0				0.0		D			F2	29-OCT-2025		Common Stock		191667.0				0.0				D			
0000882184-25-000062	3322955	Restricted Stock Unit			F2	29-OCT-2025				4	A	0				39720.0				0.0		A			F5		F5	Common Stock		39720.0				39720.0				D			
0001225208-25-008822	3322664	MassMutual Non-Qualified Thrift Plan			F1	30-OCT-2025				4	J	0	F2			89.57				21.17		A			F1		F1	"Common Shares (""Shares of Beneficial Interest"")"		89.57				9179.01				D			
0001225208-25-008821	3322725	Barings Non-Qualified Thrift Plan			F1	30-OCT-2025				4	J	0	F2			35.5				21.17		A			F1		F1	"Common Shares (""Shares of Beneficial Interest"")"		35.5				4855.86				D			
0001493152-25-020322	3322753	Employee Stock Option (Right to Buy)	F2	2.92		30-OCT-2025				4	M	0				200000.0				0.0		D			F3	18-FEB-2026		Common Stock		200000.0				0.0				D			
0001628280-25-047689	3322653	Non-Qualified Stock Option (Right to Buy)		8.18		31-OCT-2025				4	M	0				1000.0				0.0		D		28-JUN-2017	F2	28-JUN-2026		Common Stock		1000.0				1000.0				D			
0001640334-25-001925	3322670	Warrant (right to buy)		3.4		28-OCT-2025				4	C	false	F2, F1								F2, F1	A		28-OCT-2025		28-OCT-2030		Common Stock		70376.0								D			
0001640334-25-001925	3322671	Convertible Promissory Note		3.4		28-OCT-2025				4	C	false	F2, F1							110843.0		A		28-OCT-2025		28-APR-2026		Common Stock			F2, F1							D			
0001640334-25-001925	3322668	Convertible Promissory Note			F2, F1	28-OCT-2025				4	C	false	F2, F1			38346.0		140000.0		140000.0		D		01-MAY-2025		28-OCT-2025		Common Stock			F2, F1			38346.0		0.0		D			
0001640334-25-001925	3322669	Warrant (right to buy)		6.24		28-OCT-2025				4	C	false	F2, F1			70376.0		110843.0			F2, F1	A		28-OCT-2025		28-OCT-2030		Common Stock		38346.0				70376.0		110843.0		D			
0001640334-25-001923	3322572	Warrant (right to buy)		3.4		28-OCT-2025				4	C	false	F2, F1								F2, F1	A		28-OCT-2025		28-OCT-2030		Common Stock		12566.0								D			
0001640334-25-001923	3322573	Convertible Promissory Note		3.4		28-OCT-2025				4	C	false	F2, F1							19793.0		A		28-OCT-2025		28-APR-2026		Common Stock			F2, F1							D			
0001640334-25-001923	3322570	Convertible Promissory Note			F2, F1	28-OCT-2025				4	C	false	F2, F1			6846.0		25000.0		25000.0		D		01-MAY-2025		28-OCT-2025		Common Stock			F2, F1			6846.0		0.0		D			
