ACCESSION_NUMBER	DERIV_HOLDING_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_FORM_TYPE	TRANS_FORM_TYPE_FN	EXERCISE_DATE	EXERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-25-009757	2002392	Stock Option		50.79				01-JAN-2023		04-FEB-2030		Common Stock		9672.0				9672.0				D			
0001225208-25-009757	2002393	Stock Option		61.26				01-JAN-2024		02-FEB-2031		Common Stock		11118.0				11118.0				D			
0001225208-25-009757	2002394	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		11547.0				11547.0				D			
0001225208-25-009757	2002398	Stock Units (LTIP)			F2				F2		F2	Common Stock		6442.0				6442.0				D			
0001225208-25-009757	2002395	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		10806.0				10806.0				D			
0001225208-25-009757	2002396	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		12742.0				12742.0				D			
0001225208-25-009757	2002397	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		23502.0				23502.0				D			
0001225208-25-009754	2002374	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		6370.0				6370.0				D			
0001225208-25-009754	2002377	Stock Units (LTIP)			F2				F2		F2	Common Stock		1855.0				1855.0				D			
0001225208-25-009754	2002376	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		8012.0				8012.0				D			
0001225208-25-009754	2002375	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		6318.0				6318.0				D			
0001225208-25-009753	2002468	Stock Units (LTIP)			F2				F2		F2	Common Stock		65305.0				65305.0				D			
0001225208-25-009753	2002467	Stock Option		109.13				01-JAN-2028		03-FEB-2035		Common Stock		92768.0				92768.0				D			
0001225208-25-009753	2002465	Stock Option		71.95				01-JAN-2026		08-FEB-2033		Common Stock		141038.0				141038.0				D			
0001225208-25-009753	2002464	Stock Option		62.87				01-JAN-2025		07-FEB-2032		Common Stock		51165.0				51165.0				D			
0001225208-25-009753	2002466	Stock Option		104.16				01-JAN-2027		05-FEB-2034		Common Stock		104244.0				104244.0				D			
0001526378-25-000024	2002351	Symbotic Holdings Units	F1, F2		F1, F2				F1, F2		F1, F2	Class A Common Stock		180000.0				180000.0				I			
0001526378-25-000024	2002350	Symbotic Holdings Units	F1, F2		F1, F2				F1, F2		F1, F2	Class A Common Stock		194036.0				187036.0				D		By Spouse	F14, F13
0000947871-25-001067	2002460	Class 1 Warrants (right to buy)		25.5				03-NOV-2025		04-SEP-2029		Class A Common Stock		230680.0				230680.0				I		See footnote	F2
0000947871-25-001067	2002461	Class 2 Warrants (right to buy)		25.5				03-NOV-2025		04-SEP-2029		Class A Common Stock		230680.0				230680.0				I		See footnote	F2
0000789019-25-000101	2002373	Restricted Stock Units			F2				F3		F3	Common Stock		22925.69				22925.69	F2			D			
0001841785-25-000003	2002302	Stock Option (right to buy)		5.89					F10	16-MAY-2035		Common Stock		625000.0				625000.0				D			
0001841785-25-000003	2002301	Stock Option (right to buy)		5.94				10-DEC-2025		10-DEC-2034		Common Stock		500000.0				500000.0				D			
