ACCESSION_NUMBER,NONDERIV_HOLDING_SK,SECURITY_TITLE,SECURITY_TITLE_FN,TRANS_FORM_TYPE,TRANS_FORM_TYPE_FN,SHRS_OWND_FOLWNG_TRANS,SHRS_OWND_FOLWNG_TRANS_FN,VALU_OWND_FOLWNG_TRANS,VALU_OWND_FOLWNG_TRANS_FN,DIRECT_INDIRECT_OWNERSHIP,DIRECT_INDIRECT_OWNERSHIP_FN,NATURE_OF_OWNERSHIP,NATURE_OF_OWNERSHIP_FN
0001361658-25-000160,2462298,Common Stock,,,,40103.0,F4,,,D,,,
0001361658-25-000159,2714634,Common Stock,,,,56122.0,F4,,,D,,,
0001361658-25-000158,2773422,Common Stock,,,,2693.0,F5,,,D,,,
0001361658-25-000157,2389068,Common Stock,,,,115611.0,F4,,,D,,Geoffrey S Richards Revocable Trust,
0001361658-25-000157,2389069,Common Stock,,,,36113.0,,,,I,,,
0001361658-25-000156,2665700,Common Stock,,,,115611.0,F4,,,D,,,
0001127602-25-009871,2349010,Common Stock,,,,367.55,,,,I,,Gallagher 401(k) plan account,
0001361658-25-000155,2421738,Common Stock,,,,36641.0,F3,,,D,,,
0001773751-25-000101,2677205,Class A Common Stock,,,,534491.0,,,,I,,Held by Trustee of AD 2022 GRAT,
0001773751-25-000101,2677206,Class A Common Stock,,,,829185.0,,,,I,,Held by Trustee of AD 2022 GRAT 2 dated 9/7/2022,
0001773751-25-000101,2677207,Class A Common Stock,,,,1584506.0,,,,I,,Held by Trustee of AD 2023 GRAT dated 9-5-2023,
0001773751-25-000101,2677202,Class A Common Stock,,,,1194545.0,,,,I,,Held by Trustee of AD 2022 GRAT 3 dated 11-28-2022,
0001773751-25-000101,2677204,Class A Common Stock,,,,1286627.0,,,,I,,Held by Trustee of AD 2021 GRAT dated 11-1-2021,
0001773751-25-000101,2677203,Class A Common Stock,,,,1177133.0,,,,I,,"Held by Trustee of Andrew Dudum 2015 Trust Dated July 2, 2015",
0001773751-25-000101,2677208,Class A Common Stock,,,,2874769.0,,,,I,,Held by Trustee of Dudum Family Heritage Trust UAD 8-10-2021,
0001361658-25-000154,2332189,Common Stock,,,,1955.0,F4,,,D,,,
0001361658-25-000154,2332188,Common Stock,,,,44512.0,F3,,,D,,,
0001361658-25-000153,2617116,Common Stock,,,,1955.0,F3,,,D,,,
0001361658-25-000152,2726708,Common Stock,,,,74481.0,F4,,,D,,,
0001361658-25-000151,2728968,Common Stock,,,,722.0,F4,,,D,,,
0001361658-25-000151,2728967,Common Stock,,,,1955.0,F3,,,D,,,
0001361658-25-000150,2326479,Common Stock,,,,361947.0,F3,,,D,,,
0001361658-25-000150,2326480,Common Stock,,,,1955.0,F4,,,D,,,
0001361658-25-000149,2568466,Common Stock,,,,65453.0,F4,,,D,,,
0001361658-25-000148,2387015,Common Stock,F4,,,256490.0,F5,,,D,,,
0001361658-25-000147,2399465,Common Stock,,,,1955.0,F3,,,D,,,
0001361658-25-000147,2399466,Common Stock,,,,6998.0,F4,,,D,,,
0001127602-25-009869,2788231,Common Stock,,,,243.26,,,,I,,Gallagher 401(k) plan account,
0001062993-25-005810,2735947,Common Stock - Non Voting,,,,0.0,,,,D,,,
0001127602-25-009867,2325611,Common Stock,,,,367.53,,,,I,,Gallagher 401(k) plan account,
0000950170-25-041543,2523303,Class C Capital Stock,,,,7311.0,,,,D,,,
0001127602-25-009865,2347176,Common Stock,,,,367.54,,,,I,,Gallagher 401(k) plan account,
0000860413-25-000030,2675780,Common Stock,,,,1376.0,,,,I,,By IRA,
0000860413-25-000030,2675782,Common Stock,,,,10.0,,,,I,,By Spouse,
0000860413-25-000030,2675781,Common Stock,,,,164.0,,,,I,,By 401(k),
0001127602-25-009863,2613928,Common Stock,,,,271525.0,,,,I,,By Spouse,F3
