ACCESSION_NUMBER	DERIV_TRANS_SK	SECURITY_TITLE	SECURITY_TITLE_FN	CONV_EXERCISE_PRICE	CONV_EXERCISE_PRICE_FN	TRANS_DATE	TRANS_DATE_FN	DEEMED_EXECUTION_DATE	DEEMED_EXECUTION_DATE_FN	TRANS_FORM_TYPE	TRANS_CODE	EQUITY_SWAP_INVOLVED	EQUITY_SWAP_TRANS_CD_FN	TRANS_TIMELINESS	TRANS_TIMELINESS_FN	TRANS_SHARES	TRANS_SHARES_FN	TRANS_TOTAL_VALUE	TRANS_TOTAL_VALUE_FN	TRANS_PRICEPERSHARE	TRANS_PRICEPERSHARE_FN	TRANS_ACQUIRED_DISP_CD	TRANS_ACQUIRED_DISP_CD_FN	EXCERCISE_DATE	EXCERCISE_DATE_FN	EXPIRATION_DATE	EXPIRATION_DATE_FN	UNDLYNG_SEC_TITLE	UNDLYNG_SEC_TITLE_FN	UNDLYNG_SEC_SHARES	UNDLYNG_SEC_SHARES_FN	UNDLYNG_SEC_VALUE	UNDLYNG_SEC_VALUE_FN	SHRS_OWND_FOLWNG_TRANS	SHRS_OWND_FOLWNG_TRANS_FN	VALU_OWND_FOLWNG_TRANS	VALU_OWND_FOLWNG_TRANS_FN	DIRECT_INDIRECT_OWNERSHIP	DIRECT_INDIRECT_OWNERSHIP_FN	NATURE_OF_OWNERSHIP	NATURE_OF_OWNERSHIP_FN
0001225208-25-006430	2966477	Stock Units	F1	0.0	F2	01-JUL-2025				4	A	0				1145.26				0.0		A			F3		F3	Common Stock		1145.26				20533.9				D			
0001654954-25-007739	3140493	Stock Option (right to buy)		5.75		01-JUL-2025				4	A	false				80000.0				0.0		A		01-JUL-2026		01-JUL-2035		Common Stock		80000.0				80000.0				D			
0001654954-25-007738	3179296	Stock Option (right to buy)		5.75		01-JUL-2025				4	A	false				80000.0				0.0		A		01-JUL-2026		01-JUL-2035		Common Stock		80000.0				80000.0				D			
0001654954-25-007737	3183255	Stock Option (right to buy)		5.75		01-JUL-2025				4	A	false				80000.0				0.0		A		01-JUL-2025		01-JUL-2035		Common Stock		80000.0				80000.0				D			
0001654954-25-007736	3152164	Stock Option (right to buy)		5.75		01-JUL-2025				4	A	false				80000.0				0.0		A		01-JUL-2026		01-JUL-2035		Common Stock		80000.0				80000.0				D			
0001654954-25-007734	2966551	Stock Option (right to buy)		5.75		01-JUL-2025				4	A	false				80000.0				0.0		A		01-JUL-2026		01-JUL-2035		Common Stock		80000.0				80000.0				D			
0001104659-25-065573	3081561	Warrants		5.25		02-JUL-2025				4	P	0				10000.0				0.01		A		02-JUL-2025		02-JUL-2030		Common Stock		10000.0				10000.0				D			
0001104659-25-065572	2966524	Warrants		5.25		02-JUL-2025				4	P	0				10000.0				0.01		A		02-JUL-2025		02-JUL-2030		Common Stock		10000.0				10000.0				D			
0001104659-25-065570	2966383	Warrants		5.25		02-JUL-2025				4	P	0				5000.0				0.01		A		02-JUL-2025		02-JUL-2030		Common Stock		5000.0				5000.0				D			
0001408939-25-000002	2945596	Employee Stock Option (Right to Buy)		0.33		30-JUN-2025		30-JUN-2025		4	E	0				50000.0				0.33		A		30-JUN-2020		30-JUN-2025		Common Stock		50000.0	F1			468750.0				D			
0001392941-25-000003	2859490	Restricted Stock Units			F1	01-JUL-2025				4	M	0				510.0				0.0		D			F4		F4	Common Stock		510.0				1530.0				D			
0001392941-25-000003	2859489	Restricted Stock Units			F1	01-JUL-2025				4	M	0				820.0	F2			0.0		D			F3		F3	Common Stock		820.0	F2			1660.0				D			
0001392942-25-000003	2915929	Restricted Stock Units			F1	01-JUL-2025				4	M	0				820.0	F2			0.0		D			F3		F3	Common Stock		820.0	F2			1660.0				I		By Spouse	
0001392942-25-000003	2915930	Restricted Stock Units			F1	01-JUL-2025				4	M	0				510.0				0.0		D			F4		F4	Common Stock		510.0				1530.0				I		By Spouse	
0001777243-25-000003	2963069	Restricted Stock Units			F1	01-JUL-2025				4	M	0				603.0				0.0		D			F2		F2	Common Stock		603.0				1809.0				D			
0001392937-25-000003	2859449	Restricted Stock Units			F1	01-JUL-2025				4	M	0				593.0				0.0		D			F5		F5	Common Stock		593.0				1780.0				D			
0001392937-25-000003	2859448	Restricted Stock Units			F1	01-JUL-2025				4	M	0				800.0	F3			0.0		D			F4		F4	Common Stock		800.0	F3			1600.0				D			
0001777404-25-000003	2859257	Restricted Stock Units			F1	01-JUL-2025				4	M	0				2991.0				0.0		D			F5		F5	Common Stock		2991.0				8973.0				D			
0001777404-25-000003	2859256	Restricted Stock Units			F1	01-JUL-2025				4	M	0				1080.0	F2			0.0		D			F4		F4	Common Stock		1080.0	F2			2160.0				D			
0001777404-25-000003	2859254	Restricted Stock Units			F1	01-JUL-2025				4	M	0				9380.0	F2			0.0		D			F3		F3	Common Stock		9380.0	F2			9380.0				D			
0001777404-25-000003	2859255	Restricted Stock Units			F1	01-JUL-2025				4	M	0				5120.0	F2			0.0		D			F4		F4	Common Stock		5120.0	F2			10220.0				D			
0001777241-25-000003	2999726	Restricted Stock Units			F1	01-JUL-2025				4	M	0				800.0	F2			0.0		D			F4		F4	Common Stock		800.0	F2			1600.0				D			
0001777241-25-000003	2999727	Restricted Stock Units			F1	01-JUL-2025				4	M	0				660.0	F2			0.0		D			F4		F4	Common Stock		660.0	F2			1320.0				D			
